DATE,GS1,GS2,GS3,GS5,GS10,GS20,GS30
2020-04-01,0.18,0.22,0.28,0.39,0.66,1.06,1.27
2020-05-01,0.16,0.17,0.22,0.34,0.67,1.12,1.38
2020-06-01,0.18,0.19,0.22,0.34,0.73,1.27,1.49
2020-07-01,0.15,0.15,0.17,0.28,0.62,1.09,1.31
2020-08-01,0.13,0.14,0.16,0.27,0.65,1.14,1.36
2020-09-01,0.13,0.13,0.16,0.27,0.68,1.21,1.42
2020-10-01,0.13,0.15,0.19,0.34,0.79,1.34,1.57
2020-11-01,0.12,0.17,0.22,0.39,0.87,1.4,1.62
2020-12-01,0.1,0.14,0.19,0.39,0.93,1.47,1.67
2021-01-01,0.1,0.13,0.2,0.45,1.08,1.63,1.82
2021-02-01,0.07,0.12,0.21,0.54,1.26,1.88,2.04
2021-03-01,0.08,0.15,0.32,0.82,1.61,2.24,2.34
2021-04-01,0.06,0.16,0.35,0.86,1.64,2.2,2.3
2021-05-01,0.05,0.16,0.32,0.82,1.62,2.22,2.32
2021-06-01,0.07,0.2,0.39,0.84,1.52,2.09,2.16
2021-07-01,0.08,0.22,0.4,0.76,1.32,1.87,1.94
2021-08-01,0.07,0.22,0.42,0.77,1.28,1.83,1.92
2021-09-01,0.08,0.24,0.47,0.86,1.37,1.87,1.94
2021-10-01,0.11,0.39,0.67,1.11,1.58,2.03,2.06
2021-11-01,0.18,0.51,0.82,1.2,1.56,1.97,1.94
2021-12-01,0.3,0.68,0.95,1.23,1.47,1.9,1.85
2022-01-01,0.55,0.98,1.25,1.54,1.76,2.15,2.1
2022-02-01,1.0,1.44,1.65,1.81,1.93,2.31,2.25
2022-03-01,1.34,1.91,2.09,2.11,2.13,2.51,2.41
2022-04-01,1.89,2.54,2.72,2.78,2.75,2.99,2.81
2022-05-01,2.06,2.62,2.79,2.87,2.9,3.26,3.07
2022-06-01,2.65,3.0,3.15,3.19,3.14,3.48,3.25
2022-07-01,3.02,3.04,3.03,2.96,2.9,3.35,3.1
2022-08-01,3.28,3.25,3.23,3.03,2.9,3.35,3.13
2022-09-01,3.89,3.86,3.88,3.7,3.52,3.82,3.56
2022-10-01,4.43,4.38,4.38,4.18,3.98,4.28,4.04
2022-11-01,4.73,4.5,4.34,4.06,3.89,4.22,4.0
2022-12-01,4.68,4.29,4.05,3.76,3.62,3.87,3.66
2023-01-01,4.69,4.21,3.91,3.64,3.53,3.81,3.66
2023-02-01,4.93,4.53,4.23,3.94,3.75,3.95,3.8
2023-03-01,4.68,4.3,4.09,3.82,3.66,3.94,3.77
2023-04-01,4.68,4.02,3.76,3.54,3.46,3.8,3.68
